index,accuracy,macro,micro,positize_P,positize_R,positize_F,neutral_P,neutral_R,neutral_F,negative_P,negative_R,negative_F
0.1,0.692307692,0.614814815,0.692307692,0.75,0.272727273,0.4,0.677419355,0.913043478,0.777777778,0.75,0.6,0.666666667
0.2,0.717948718,0.611111111,0.717948718,1,0.363636364,0.533333333,0.6875,0.956521739,0.8,0.666666667,0.4,0.5
1.1,0.692307692,0.612007797,0.692307692,0.75,0.545454545,0.631578947,0.703703704,0.826086957,0.76,0.5,0.4,0.444444444
1.2,0.641025641,0.598277609,0.641025641,0.461538462,0.545454545,0.5,0.708333333,0.739130435,0.723404255,1,0.4,0.571428571
1.3,0.743589744,0.666666667,0.743589744,0.777777778,0.636363636,0.7,0.740740741,0.869565217,0.8,0.666666667,0.4,0.5
1.4,0.615384615,0.387264457,0.615384615,0.5,0.363636364,0.421052632,0.64516129,0.869565217,0.740740741,0,0,0
1.5,0.769230769,0.707285115,0.769230769,1,0.454545455,0.625,0.733333333,0.956521739,0.830188679,0.75,0.6,0.666666667
1.6,0.717948718,0.626896041,0.717948718,0.833333333,0.454545455,0.588235294,0.7,0.913043478,0.79245283,0.666666667,0.4,0.5
1.7,0.743589744,0.658119658,0.743589744,0.857142857,0.545454545,0.666666667,0.724137931,0.913043478,0.807692308,0.666666667,0.4,0.5
2.1,0.717948718,0.64739229,0.717948718,0.7,0.636363636,0.666666667,0.730769231,0.826086957,0.775510204,0.666666667,0.4,0.5
2.2,0.641025641,0.588578089,0.641025641,0.466666667,0.636363636,0.538461538,0.761904762,0.695652174,0.727272727,0.666666667,0.4,0.5
2.3,0.538461538,0.522222222,0.538461538,0.368421053,0.636363636,0.466666667,0.705882353,0.52173913,0.6,0.666666667,0.4,0.5
2.4,0.641025641,0.402693603,0.641025641,0.571428571,0.363636364,0.444444444,0.65625,0.913043478,0.763636364,0,0,0
2.5,0.717948718,0.65751634,0.717948718,0.833333333,0.454545455,0.588235294,0.714285714,0.869565217,0.784313725,0.6,0.6,0.6
2.6,0.58974359,0.542980829,0.58974359,0.363636364,0.363636364,0.363636364,0.653846154,0.739130435,0.693877551,1,0.4,0.571428571
2.7,0.641025641,0.573333333,0.641025641,0.555555556,0.454545455,0.5,0.666666667,0.782608696,0.72,0.666666667,0.4,0.5
3.1,0.769230769,0.744331066,0.769230769,0.7,0.636363636,0.666666667,0.769230769,0.869565217,0.816326531,1,0.6,0.75
3.2,0.794871795,0.702006589,0.794871795,0.857142857,0.545454545,0.666666667,0.766666667,1,0.867924528,1,0.4,0.571428571
3.3,0.769230769,0.633454706,0.769230769,0.875,0.636363636,0.736842105,0.733333333,0.956521739,0.830188679,1,0.2,0.333333333
3.4,0.692307692,0.513450292,0.692307692,0.75,0.272727273,0.4,0.676470588,1,0.807017544,1,0.2,0.333333333
3.5,0.717948718,0.551587302,0.717948718,0.8,0.363636364,0.5,0.696969697,1,0.821428571,1,0.2,0.333333333
3.6,0.564102564,0.316526611,0.564102564,0.333333333,0.181818182,0.235294118,0.606060606,0.869565217,0.714285714,0,0,0
3.7,0.743589744,0.642063492,0.743589744,1,0.363636364,0.533333333,0.696969697,1,0.821428571,1,0.4,0.571428571
