index,accuracy,macro,micro,positize_P,positize_R,positize_F,neutral_P,neutral_R,neutral_F,negative_P,negative_R,negative_F
0.1,0.5483870967741935,0.47170208289501375,0.5483870967741935,0.9,0.6206896551724138,0.7346938775510204,0.0,0.0,0.0,1.0,0.515625,0.6804123711340206
0.2,0.5913978494623656,0.4971281441869677,0.5913978494623656,0.9090909090909091,0.6896551724137931,0.7843137254901961,0.0,0.0,0.0,1.0,0.546875,0.7070707070707071
1.1,0.7526881720430108,0.5624438454627133,0.7526881720430108,0.9166666666666666,0.7586206896551724,0.8301886792452831,0.0,0.0,0.0,1.0,0.75,0.8571428571428571
1.2,0.6559139784946236,0.5323166303558461,0.6559139784946236,0.92,0.7931034482758621,0.8518518518518519,0.0,0.0,0.0,1.0,0.59375,0.7450980392156863
1.3,0.6021505376344086,0.4979591836734694,0.6021505376344086,0.8461538461538461,0.7586206896551724,0.8,0.0,0.0,0.0,1.0,0.53125,0.6938775510204082
1.4,0.4838709677419355,0.4563279857397504,0.4838709677419355,0.9545454545454546,0.7241379310344828,0.8235294117647058,0.0,0.0,0.0,1.0,0.375,0.5454545454545454
1.5,0.6989247311827957,0.5331567913494428,0.6989247311827957,0.8214285714285714,0.7931034482758621,0.8070175438596491,0.0,0.0,0.0,1.0,0.65625,0.7924528301886793
1.6,0.6881720430107527,0.5357558816678313,0.6881720430107527,0.88,0.7586206896551724,0.8148148148148148,0.0,0.0,0.0,1.0,0.65625,0.7924528301886793
1.7,0.6559139784946236,0.5324263038548752,0.6559139784946236,1.0,0.6896551724137931,0.8163265306122449,0.0,0.0,0.0,1.0,0.640625,0.780952380952381
2.1,0.6666666666666666,0.5244684037136867,0.6666666666666666,0.875,0.7241379310344828,0.7924528301886793,0.0,0.0,0.0,1.0,0.640625,0.780952380952381
2.2,0.6666666666666666,0.5195767195767196,0.6666666666666666,0.84,0.7241379310344828,0.7777777777777778,0.0,0.0,0.0,1.0,0.640625,0.780952380952381
2.3,0.6989247311827957,0.516826923076923,0.6989247311827957,0.7142857142857143,0.8620689655172413,0.78125,0.0,0.0,0.0,1.0,0.625,0.7692307692307693
2.4,0.4946236559139785,0.44616821087409325,0.4946236559139785,0.8636363636363636,0.6551724137931034,0.7450980392156863,0.0,0.0,0.0,1.0,0.421875,0.5934065934065934
2.5,0.6666666666666666,0.526416173946214,0.6666666666666666,0.95,0.6551724137931034,0.7755102040816326,0.0,0.0,0.0,1.0,0.671875,0.8037383177570093
2.6,0.40860215053763443,0.3847167325428195,0.40860215053763443,0.8235294117647058,0.4827586206896552,0.6086956521739131,0.0,0.0,0.0,1.0,0.375,0.5454545454545454
2.7,0.5806451612903226,0.4913533834586466,0.5806451612903226,0.8518518518518519,0.7931034482758621,0.8214285714285714,0.0,0.0,0.0,1.0,0.484375,0.6526315789473685
3.1,0.8279569892473119,0.5925925925925926,0.8279569892473119,0.8529411764705882,1.0,0.9206349206349206,0.0,0.0,0.0,1.0,0.75,0.8571428571428571
3.2,0.7204301075268817,0.5345794392523365,0.7204301075268817,0.7741935483870968,0.8275862068965517,0.8,0.0,0.0,0.0,1.0,0.671875,0.8037383177570093
3.3,0.7634408602150538,0.5619275189167662,0.7634408602150538,0.8181818181818182,0.9310344827586207,0.8709677419354839,0.0,0.0,0.0,1.0,0.6875,0.8148148148148148
3.4,0.46236559139784944,0.43726591760299627,0.46236559139784944,0.9473684210526315,0.6206896551724138,0.75,0.0,0.0,0.0,1.0,0.390625,0.5617977528089888
3.5,0.6344086021505376,0.5209539821906719,0.6344086021505376,0.9166666666666666,0.7586206896551724,0.8301886792452831,0.0,0.0,0.0,1.0,0.578125,0.7326732673267327
3.6,0.26881720430107525,0.2673853307968717,0.26881720430107525,0.7777777777777778,0.2413793103448276,0.3684210526315789,0.0,0.0,0.0,0.9473684210526315,0.28125,0.43373493975903615
3.7,0.7634408602150538,0.5658151054711416,0.7634408602150538,0.9166666666666666,0.7586206896551724,0.8301886792452831,0.0,0.0,0.0,1.0,0.765625,0.8672566371681416
